,Unnamed: 0,Type,ID,Points,Question,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,Explanation
4,711,MC,632254,,<p>Suppose you are trying to choose between an array and a linked list to store the data in your Java program. Which data structure can change size as needed while the program is running?</p>,B,<p>an array</p>,<p>a linked list</p>,<p>both</p>,<p>neither</p>,,,,,,,"<p>When initializing a Java array, you must allocate a fixed amount of memory for storing data. Linked lists vary in size depending on how much data they contain.&nbsp;</p>"
5,604,MC,618600,,"
<p>What will be outputted?</p>
<p>class A{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; int firstMethod(int input){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; return input+2;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
<p>class B extends A{</p>
<p>}</p>
<p>class C extends B{</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; int firstMethod(int input){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; return input-2;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
<p>public class test {</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; public static void main(String[] arg){</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; B myObject = new B();</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; System.out.println(myObject.firstMethod(2));</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; }</p>
<p>}</p>
",C,<p>0</p>,<p>2</p>,<p>4</p>,<p>Compiler Error</p>,,,,,,,<p>4</p>
8,76,MC,634252,,"
<p>Read the following method skeleton and choose the best expression to fill in the blank on <strong>line 5</strong>&nbsp;so that the method will behave correctly:</p>
<pre lang=""text/x-java"">/**
* Takes a string reference and counts the number of times
* the character 'A' or 'a' appears in the string object.
* @param aString   String reference to object containing chars.
* @precondition    aString is not null (you may assume this is true).
* @return          The number of times 'A' or 'a' appears in the string.
*/
public static int countAs(String aString)  // line 1
{
    int counter = __________;              // line 2
    int totalA = 0;                        // line 3
    while (counter &lt; __________)           // line 4
    {
        if ( __________.equals(""A"") )      // line 5
        {
            totalA = totalA + __________;  // line 6
        }
        counter++;                         // line 7
    }
    return __________;                     // line 8
}
</pre>
",E,<code>aString.charAt(counter)</code>,<code>aString.substring(counter)</code>,<code>aString.charAt(counter).toUpperCase()</code>,<code>aString.substring(counter).toUpperCase()</code>,"<code>aString.substring(counter, counter + 1).toUpperCase()</code>",,,,,,"<p>While both <code>charAt()</code> can be used to examine a single <code>char</code> in a string, <code>char</code> is a primitive type without any methods. &nbsp;Since the condition on Line 5 uses the <code>equals()</code> method to compare against another String value, the expression used to fill in the blank must produce a String object, so the <code>substring()</code> method is a better fit. &nbsp;The <code>substring()</code> method takes two parameters--a starting index and an ending index one past the end of the substring--and since the method counts both upper case and lower case A's, the result should be converted to upper case form before testing for equality against <code>""A""</code>. &nbsp;Thus, the best answer is <code>aString.substring(counter, counter + 1).toUpperCase()</code>.</p>"
9,353,MC,633254,,"<p>You've got an algorithm that is O(log&nbsp;N). On the first run, you feed it a collection of size M. On the second run, you feed it a collection of size M / 2. Assuming each run has worst-case performance, how many fewer operations does the second run take?</p>",B,<p>0</p>,<p>1</p>,<p>2</p>,<p>3</p>,<p>4</p>,,,,,,<p>The first run takes log M operations. The second run takes log (M/2) = log M - log 2 = log M - 1 operations. The second is just one operation less than the first.</p>
10,53,MC,634906,,<p>Two algorithms accomplish the same task on a collection of N items. Algorithm A performs (N/2)<sup>3</sup> operations. Algorithm B performs N<sup>2</sup> operations. Under what conditions does algorithm A offer strictly better performance?</p>,A,<p>N &lt;= 7</p>,<p>N &lt;= 8</p>,<p>N &gt; 8</p>,<p>For all N</p>,<p>For no N</p>,,,,,,"<p>For N &lt;= 7, (N/2)<sup>3</sup> &lt; N<sup>2</sup>.</p>"
12,289,MC,633310,,<p>What abstract data type is best suited to help us implement a breadth-first search?</p>,B,<p>priority queue</p>,<p>queue</p>,<p>stack</p>,<p>hashtable</p>,<p>array-based list</p>,,,,,,"<p>In a breadth-first search, we visit the starting element, its neighbors, its neighbors' neighbors, and so on. We want to make sure we visit the neighbors of the elements we saw earliest before we visit the neighbors of elements we saw later. This suggests a first-in, first out approach.</p>"
13,186,MC,633243,,<p>Locating a new node's insertion point in a binary search tree stops when</p>,A,<p>We reach a null child.</p>,<p>We find a node greater than the node to be inserted.</p>,<p>We reach the tree's maximum level.</p>,<p>We find a node lesser than the node to be inserted.</p>,<p>We find a node without any children.</p>,,,,,,<p>Finding nodes less than or greater than the new node happens frequently as we traverse the tree. Tree's don't have maximum levels. The insertion point isn't necessarily a leaf node. The remaining option of stopping when we reach null is the correct answer because we have found the new node's parent node.</p>
14,9,MC,634154,,"<p>If you did not have a base case in a recursive function in C, and were working on a modern Unix-based system, what would most likely happen?</p>",C,<p>Segmentation fault</p>,<p>Stack overflow error</p>,"<p>C wouldn&rsquo;t complain, but your computer would crash</p>","<p>Nothing, that&rsquo;s fine</p>",,,,,,,<p>It really depends on the program for whether it would be B or C. Both can be argued to be correct.</p>
15,438,MC,633889,,"
<p>William has the hash function:&nbsp;hash function h(k) = (sum of the digits) % 10. He wants to hash 33, 60, 24, 42 and 6.</p>
<p>Which collision resolution method should he chose in his implementation, if he wants to ensure that adding 80 happens in O(1) time?</p>
",A,<p>Quadratic probing</p>,<p>Linear probing</p>,"<p>Rth probing, R = 2</p>",,,,,,,,<p>Both Rth probing (R=2) and linear probing will hash values to the 8 position -- only quadratic probing will leave that position open.</p>
17,132,MC,630945,,<p>Which of the following abstract datatypes would be the best choice for part of the implementation of the back button on a Web browser?</p>,A,<p>a Stack&nbsp;</p>,<p>a Queue</p>,<p>a Priority Queue&nbsp;</p>,<p>a List&nbsp;</p>,<p>a Dictionary</p>,,,,,,"<p>When you click on the back button, you should see the last page you visited, so the datatype that stores the previously visited webpages must be last-in-first-out. Of the abstract datatypes listed, Stack is the only one that is last-in-first-out.</p>"
